Name,Outcode,Price per month,Price per bedroom per month,Price per bedroom per year,No. bedrooms,Distance from LSE,Crime No.,LSE accommodation
3 bed flat,WC2A,7800,2600.0,31200.0,3,0.17,5678,False
studio flat,WC2B,2396,2396.0,28752.0,1,0.31,6949,False
2 bed flat,WC2R,5633,2816.5,33798.0,2,0.35,5585,False
1 bed flat,WC2A,2500,2500.0,30000.0,1,0.4,5134,False
1 bed flat,EC4A,2600,2600.0,31200.0,1,0.48,4727,False
1 bed flat,EC4A,2000,2000.0,24000.0,1,0.48,4701,False
room in a shared flat,WC2H,1255,1255.0,15060.0,3,0.59,7259,False
2 bed flat,EC4Y,2900,1450.0,17400.0,2,0.65,3982,False
room in a shared flat,WC2E,1248,1248.0,14976.0,4,0.68,7060,False
4 bed flat,WC2H,6250,1562.5,18750.0,4,0.73,7618,False
2 bed flat,WC1X,3195,1597.5,19170.0,2,0.74,5165,False
room in a shared flat,WC1B,1400,1400.0,16800.0,3,0.76,7715,False
1 bed flat,EC1N,3000,3000.0,36000.0,1,0.82,4279,False
room in a shared flat,WC2H,1500,1500.0,18000.0,2,0.88,7058,False
2 bed flat,WC1X,2817,1408.5,16902.0,2,0.88,5129,False
2 bed flat,WC1X,2817,1408.5,16902.0,2,0.88,5129,False
room in a shared flat,EC1N,1312,1312.0,15744.0,3,0.9,3682,False
1 bed flat,WC2N,2999,2999.0,35988.0,1,0.91,6729,False
2 bed flat,WC1B,2800,1400.0,16800.0,2,0.94,7819,False
2 bed flat,WC1B,2500,1250.0,15000.0,2,0.95,7833,False
2 bed flat,SE1,3500,1750.0,21000.0,2,1.0,3310,False
bedsit,EC4M,1675,1675.0,20100.0,1,1.02,2827,False
2 bed flat,WC1N,3185,1592.5,19110.0,2,1.06,6910,False
2 bed flat,WC1N,3012,1506.0,18072.0,2,1.06,6910,False
1 bed flat,EC1N,3033,3033.0,36396.0,1,1.06,2961,False
2 bed flat,W14,3295,1647.5,19770.0,2,1.06,7008,False
2 bed flat,SE1,6300,3150.0,37800.0,2,1.06,3076,False
2 bed flat,SE1,6250,3125.0,37500.0,2,1.06,3076,False
studio flat,SE1,3510,3510.0,42120.0,1,1.07,3082,False
2 bed flat,SE1,6933,3466.5,41598.0,2,1.07,3102,False
2 bed flat,SE1,4650,2325.0,27900.0,2,1.07,4559,False
3 bed flat,EC1M,3999,1333.0,15996.0,3,1.1,2934,False
2 bed flat,WC1X,4550,2275.0,27300.0,2,1.12,3806,False
1 bed flat,SW1Y,3142,3142.0,37704.0,1,1.12,7141,False
studio flat,WC1N,1742,1742.0,20904.0,1,1.13,5959,False
1 bed flat,WC1X,3033,3033.0,36396.0,1,1.13,3861,False
room in a shared flat,W1D,1660,1660.0,19920.0,3,1.13,7427,False
1 bed flat,WC1N,3600,3600.0,43200.0,1,1.15,6970,False
room in a shared flat,W1T,715,715.0,8580.0,5,1.15,7380,False
room in a shared flat,W1T,715,715.0,8580.0,5,1.15,7380,False
room in a shared flat,W1T,715,715.0,8580.0,5,1.15,7380,False
2 bed flat,WC1N,3033,1516.5,18198.0,2,1.16,4851,False
1 bed flat,WC1N,3683,3683.0,44196.0,1,1.16,4851,False
room in a shared flat,W1T,1235,1235.0,14820.0,5,1.16,7383,False
room in a shared flat,W1T,1235,1235.0,14820.0,5,1.16,7383,False
2 bed flat,WC1E,3792,1896.0,22752.0,2,1.18,7873,False
studio flat,WC1N,2750,2750.0,33000.0,1,1.18,6943,False
studio flat,WC1X,1950,1950.0,23400.0,1,1.23,4445,False
studio flat,WC1H,1900,1900.0,22800.0,1,1.24,6886,False
studio flat,WC1H,2500,2500.0,30000.0,1,1.24,6899,False
studio flat,WC1H,2199,2199.0,26388.0,1,1.24,6899,False
1 bed flat,WC1X,3033,3033.0,36396.0,1,1.24,3751,False
2 bed flat,WC1X,4000,2000.0,24000.0,2,1.24,3751,False
1 bed flat,EC1R,2400,2400.0,28800.0,1,1.25,3051,False
1 bed flat,W1T,5100,5100.0,61200.0,1,1.27,7701,False
1 bed flat,SE1,2800,2800.0,33600.0,1,1.27,4241,False
1 bed flat,WC1N,1950,1950.0,23400.0,1,1.34,6281,False
2 bed flat,EC1A,2900,1450.0,17400.0,2,1.34,2371,False
2 bed flat,SE1,3640,1820.0,21840.0,2,1.36,3994,False
1 bed flat,SE1,2300,2300.0,27600.0,1,1.36,4000,False
room in a shared house,WC1E,1217,1217.0,14604.0,1,1.36,7636,False
room in a shared house,WC1H,1500,1500.0,18000.0,1,1.37,6644,False
2 bed flat,WC1E,4950,2475.0,29700.0,2,1.39,7815,False
1 bed flat,EC1A,3120,3120.0,37440.0,1,1.43,2363,False
2 bed flat,WC1H,2700,1350.0,16200.0,2,1.44,5203,False
1 bed flat,EC4V,3850,3850.0,46200.0,1,1.45,2373,False
room in a shared flat,WC1H,1350,1350.0,16200.0,2,1.45,5072,False
2 bed flat,WC1N,4242,2121.0,25452.0,2,1.47,5337,False
2 bed flat,WC1H,2700,1350.0,16200.0,2,1.47,4702,False
2 bed flat,EC1V,3100,1550.0,18600.0,2,1.48,2401,False
studio flat,SW1Y,2100,2100.0,25200.0,1,1.49,7233,False
room in a shared flat,WC1E,1300,1300.0,15600.0,2,1.49,7667,False
1 bed penthouse,SE1,3424,3424.0,41088.0,1,1.51,3219,False
room in a shared flat,EC1V,1550,1550.0,18600.0,3,1.51,2400,False
3 bed flat,SE1,3995,1331.6666666666667,15980.0,3,1.52,2523,False
2 bed flat,SE1,4300,2150.0,25800.0,2,1.53,2380,False
1 bed flat,SE1,2600,2600.0,31200.0,1,1.54,2421,False
studio flat,EC1V,1556,1556.0,18672.0,1,1.55,2449,False
studio flat,EC1A,2032,2032.0,24384.0,1,1.56,2321,False
studio flat,EC1A,2032,2032.0,24384.0,1,1.56,2321,False
room in a shared flat,SE1,990,990.0,11880.0,3,1.61,2435,False
room in a shared flat,SE1,990,990.0,11880.0,4,1.61,2435,False
room in a shared flat,SE1,1296,1296.0,15552.0,7,1.61,2418,False
room in a shared house,WC1X,1980,1980.0,23760.0,4,1.62,2908,False
2 bed flat,EC1V,3099,1549.5,18594.0,2,1.62,2375,False
2 bed flat,WC1H,3490,1745.0,20940.0,2,1.63,4882,False
room in a shared flat,EC1V,1150,1150.0,13800.0,4,1.63,2684,False
2 bed flat,WC1H,2850,1425.0,17100.0,2,1.64,3537,False
2 bed flat,SE1,3460,1730.0,20760.0,2,1.64,2411,False
1 bed flat,WC1H,2499,2499.0,29988.0,1,1.65,4179,False
studio flat,WC1H,2557,2557.0,30684.0,1,1.65,4680,False
studio flat,EC1Y,1750,1750.0,21000.0,1,1.66,2351,False
studio flat,WC1H,1972,1972.0,23664.0,1,1.66,4680,False
1 bed flat,WC1H,2150,2150.0,25800.0,1,1.66,4259,False
2 bed flat,WC1X,2850,1425.0,17100.0,2,1.66,2867,False
1 bed flat,EC4R,2495,2495.0,29940.0,1,1.67,2419,False
studio flat,WC1H,1972,1972.0,23664.0,1,1.68,4601,False
bedsit,W1W,1449,1449.0,17388.0,1,1.68,7764,False
2 bed flat,EC1R,3700,1850.0,22200.0,2,1.68,2590,False
studio flat,WC1H,2860,2860.0,34320.0,1,1.68,4504,False
2 bed flat,WC1X,8333,4166.5,49998.0,2,1.68,2984,False
2 bed flat,W1T,3700,1850.0,22200.0,2,1.69,7446,False
room in a shared flat,SE1,1140,1140.0,13680.0,5,1.69,2312,False
room in a shared flat,SE1,1140,1140.0,13680.0,5,1.69,2312,False
4 bed terraced house,WC1X,3950,987.5,11850.0,4,1.7,2949,False
1 bed flat,EC2Y,2400,2400.0,28800.0,1,1.71,2583,False
2 bed flat,W1T,3012,1506.0,18072.0,2,1.71,7561,False
2 bed flat,W1T,3012,1506.0,18072.0,2,1.71,7561,False
2 bed flat,EC1R,2800,1400.0,16800.0,2,1.72,2582,False
studio flat,WC1X,2405,2405.0,28860.0,1,1.73,3300,False
1 bed flat,W1T,2500,2500.0,30000.0,1,1.73,7544,False
room in a shared flat,SE1,899,899.0,10788.0,3,1.75,2292,False
room in a shared flat,EC1V,2150,2150.0,25800.0,1,1.76,2301,False
studio flat,EC1V,1500,1500.0,18000.0,1,1.76,2316,False
1 bed flat,W1W,2620,2620.0,31440.0,1,1.76,7470,False
room in a shared flat,EC1V,980,980.0,11760.0,4,1.77,2247,False
2 bed flat,SE1,2773,1386.5,16638.0,2,1.77,2291,False
3 bed flat,SE1,4073,1357.6666666666667,16292.0,3,1.77,2247,False
room in a shared flat,WC1E,1200,1200.0,14400.0,2,1.78,7107,False
2 bed flat,W1W,2600,1300.0,15600.0,2,1.78,7452,False
1 bed flat,WC1X,2400,2400.0,28800.0,1,1.79,2911,False
1 bed flat,WC1X,2600,2600.0,31200.0,1,1.79,2911,False
2 bed flat,NW1,2578,1289.0,15468.0,2,1.82,4168,False
3 bed flat,SE1,4333,1444.3333333333333,17332.0,3,1.82,2221,False
1 bed flat,SE1,2730,2730.0,32760.0,1,1.83,2182,False
2 bed flat,WC1X,2500,1250.0,15000.0,2,1.84,2633,False
room in a shared flat,SE1,1200,1200.0,14400.0,3,1.85,2249,False
studio flat,WC1X,1449,1449.0,17388.0,1,1.86,2983,False
2 bed flat,SE1,3995,1997.5,23970.0,2,1.87,2368,False
3 bed flat,SE1,4500,1500.0,18000.0,3,1.88,2167,False
2 bed flat,NW1,2773,1386.5,16638.0,2,1.89,3896,False
1 bed flat,W1S,8333,8333.0,99996.0,1,1.9,6908,False
1 bed flat,EC1V,2500,2500.0,30000.0,1,1.9,2334,False
1 bed flat,EC1V,2459,2459.0,29508.0,1,1.9,2334,False
1 bed flat,EC1V,2253,2253.0,27036.0,1,1.9,2368,False
1 bed flat,EC1V,2459,2459.0,29508.0,1,1.9,2334,False
1 bed flat,NW1,2100,2100.0,25200.0,1,1.91,3871,False
2 bed maisonette,N1,3500,1750.0,21000.0,2,1.92,2463,False
room in a shared flat,N1,2383,2383.0,28596.0,5,1.93,2631,False
1 bed flat,W1J,3207,3207.0,38484.0,1,1.95,7053,False
studio flat,W1J,2600,2600.0,31200.0,1,1.95,7053,False
studio flat,EC2Y,2492,2492.0,29904.0,1,1.95,2511,False
1 bed flat,EC1Y,2350,2350.0,28200.0,1,1.96,2439,False
2 bed flat,SE1,2300,1150.0,13800.0,2,1.96,2314,False
3 bed flat,SE1,2500,833.3333333333334,10000.0,3,1.96,2314,False
2 bed flat,NW1,3950,1975.0,23700.0,2,1.98,3661,False
studio flat,SE1,2000,2000.0,24000.0,1,1.98,2145,False
1 bed flat,N1,2245,2245.0,26940.0,1,1.99,2785,False
3 bed flat,NW1,4186,1395.3333333333333,16744.0,3,2.0,3623,False
2 bed flat,W1W,3250,1625.0,19500.0,2,2.01,6913,False
2 bed flat,EC1V,3012,1506.0,18072.0,2,2.02,2229,False
4 bed terraced house,SE1,8000,2000.0,24000.0,4,2.03,2133,False
2 bed flat,SE1,5985,2992.5,35910.0,2,2.04,2325,False
room in a shared flat,N1,1200,1200.0,14400.0,3,2.04,2688,False
2 bed flat,SE1,4495,2247.5,26970.0,2,2.04,2368,False
room in a shared flat,EC1V,2037,2037.0,24444.0,5,2.04,2233,False
4 bed flat,EC4R,5200,1300.0,15600.0,4,2.04,2409,False
2 bed flat,SE1,2687,1343.5,16122.0,2,2.05,2397,False
2 bed flat,SE1,2687,1343.5,16122.0,2,2.05,2397,False
studio flat,NW1,1712,1712.0,20544.0,1,2.07,4974,False
studio flat,NW1,2015,2015.0,24180.0,1,2.07,4974,False
2 bed flat,SW1P,4745,2372.5,28470.0,2,2.07,3774,False
2 bed flat,EC1V,3699,1849.5,22194.0,2,2.07,2441,False
1 bed flat,EC1V,1800,1800.0,21600.0,1,2.1,2556,False
1 bed flat,EC1V,1850,1850.0,22200.0,1,2.1,2556,False
3 bed flat,N1,2925,975.0,11700.0,3,2.1,2450,False
1 bed flat,SW1H,2795,2795.0,33540.0,1,2.12,4089,False
2 bed flat,NW1,2470,1235.0,14820.0,2,2.15,3048,False
room in a shared flat,SW1P,1299,1299.0,15588.0,3,2.16,2516,False
room in a shared flat,NW1,1127,1127.0,13524.0,3,2.16,3110,False
2 bed flat,EC1V,2990,1495.0,17940.0,2,2.17,2245,False
2 bed flat,N1,2500,1250.0,15000.0,2,2.18,2502,False
3 bed flat,NW1,4284,1428.0,17136.0,3,2.18,2850,False
3 bed flat,SW1P,8333,2777.6666666666665,33332.0,3,2.19,2217,False
2 bed flat,SW1P,4500,2250.0,27000.0,2,2.19,2217,False
1 bed flat,SW1P,4333,4333.0,51996.0,1,2.19,2217,False
2 bed flat,SW1P,4350,2175.0,26100.0,2,2.19,2217,False
1 bed flat,SW1P,3500,3500.0,42000.0,1,2.19,2215,False
3 bed flat,EC1V,5400,1800.0,21600.0,3,2.19,2072,False
2 bed flat,EC1V,3467,1733.5,20802.0,2,2.19,2073,False
2 bed flat,EC1V,3600,1800.0,21600.0,2,2.19,2073,False
1 bed flat,EC1V,3150,3150.0,37800.0,1,2.19,2073,False
2 bed flat,SE1,2600,1300.0,15600.0,2,2.19,2296,False
3 bed maisonette,NW1,3600,1200.0,14400.0,3,2.2,2975,False
3 bed flat,NW1,3500,1166.6666666666667,14000.0,3,2.2,4555,False
3 bed flat,SW1P,5750,1916.6666666666667,23000.0,3,2.2,2594,False
1 bed flat,EC1V,2250,2250.0,27000.0,1,2.21,2072,False
2 bed flat,EC1V,3700,1850.0,22200.0,2,2.21,2084,False
2 bed flat,EC1V,4008,2004.0,24048.0,2,2.21,2143,False
1 bed flat,EC1V,2200,2200.0,26400.0,1,2.21,2081,False
5 bed end terrace,N1,5200,1040.0,12480.0,5,2.21,2191,False
1 bed flat,SE1,2496,2496.0,29952.0,1,2.22,2233,False
2 bed flat,EC1V,3950,1975.0,23700.0,2,2.22,2110,False
2 bed flat,SE1,2100,1050.0,12600.0,2,2.24,2336,False
1 bed flat,N1,4700,4700.0,56400.0,1,2.25,2414,False
1 bed flat,EC1V,2700,2700.0,32400.0,1,2.25,2060,False
studio flat,SW1P,2750,2750.0,33000.0,1,2.27,2106,False
room in a shared flat,EC1V,950,950.0,11400.0,4,2.27,2310,False
1 bed flat,SE1,2100,2100.0,25200.0,1,2.29,2296,False
2 bed flat,SW1P,3500,1750.0,21000.0,2,2.3,2187,False
room in a shared flat,SE17,1700,1700.0,20400.0,2,2.3,2204,False
4 bed maisonette,N1,5750,1437.5,17250.0,4,2.31,2493,False
room in a shared flat,SE11,1000,1000.0,12000.0,3,2.32,2130,False
4 bed flat,NW1,4745,1186.25,14235.0,4,2.32,5018,False
1 bed flat,SE1,2500,2500.0,30000.0,1,2.33,2276,False
1 bed flat,W1B,3250,3250.0,39000.0,1,2.33,5422,False
room in a shared flat,SE1,1235,1235.0,14820.0,3,2.33,2230,False
2 bed flat,SE1,1998,999.0,11988.0,2,2.33,2230,False
1 bed flat,EC2A,3159,3159.0,37908.0,1,2.33,2565,False
1 bed flat,EC2A,3358,3358.0,40296.0,1,2.33,2565,False
studio flat,W1B,1975,1975.0,23700.0,1,2.33,5419,False
3 bed flat,NW1,3750,1250.0,15000.0,3,2.34,4705,False
1 bed flat,SE1,1795,1795.0,21540.0,1,2.36,2216,False
2 bed flat,SE1,1950,975.0,11700.0,2,2.36,2216,False
studio flat,W1J,2550,2550.0,30600.0,1,2.36,5988,False
1 bed flat,W1J,3199,3199.0,38388.0,1,2.36,5986,False
2 bed flat,SE1,3000,1500.0,18000.0,2,2.36,2271,False
4 bed flat,SE1,2900,725.0,8700.0,4,2.37,2210,False
1 bed flat,W1U,3800,3800.0,45600.0,1,2.39,5848,False
1 bed flat,W1U,4333,4333.0,51996.0,1,2.39,5848,False
room in a shared flat,NW1,1900,1900.0,22800.0,2,2.4,4432,False
4 bed flat,NW1,4400,1100.0,13200.0,4,2.4,4432,False
2 bed flat,SW1P,5417,2708.5,32502.0,2,2.4,1962,False
3 bed flat,SW1P,6717,2239.0,26868.0,3,2.4,1962,False
2 bed flat,SW1P,5958,2979.0,35748.0,2,2.4,1962,False
1 bed flat,SW1P,2750,2750.0,33000.0,1,2.43,2163,False
2 bed flat,EC1V,3467,1733.5,20802.0,2,2.44,2456,False
2 bed flat,SE1,2150,1075.0,12900.0,2,2.44,2203,False
1 bed flat,SE1,2100,2100.0,25200.0,1,2.44,1928,False
2 bed flat,SW1P,3200,1600.0,19200.0,2,2.44,1898,False
1 bed flat,SE1,2100,2100.0,25200.0,1,2.45,1940,False
room in a shared flat,SW1E,1460,1460.0,17520.0,1,2.46,2999,False
2 bed flat,W1J,8333,4166.5,49998.0,2,2.48,4953,False
room in a shared house,SE11,900,900.0,10800.0,1,2.48,1938,False
1 bed flat,W1G,4000,4000.0,48000.0,1,2.48,4819,False
room in a shared flat,W1G,2700,2700.0,32400.0,1,2.48,4819,False
1 bed flat,N1C,2708,2708.0,32496.0,1,2.49,2715,False
room in a shared flat,NW1,1700,1700.0,20400.0,2,2.49,4184,False
1 bed flat,EC3A,4500,4500.0,54000.0,1,2.5,2827,False
1 bed flat,SE1,2420,2420.0,29040.0,1,2.51,2102,False
studio flat,N1,1900,1900.0,22800.0,1,2.51,2486,False
studio flat,N1,2067,2067.0,24804.0,1,2.51,2486,False
studio flat,W1G,2500,2500.0,30000.0,1,2.52,4705,False
4 bed flat,NW1,4800,1200.0,14400.0,4,2.54,2583,False
3 bed flat,N1,2750,916.6666666666666,11000.0,3,2.55,2121,False
2 bed flat,EC2A,2400,1200.0,14400.0,2,2.55,2623,False
room in a shared house,N1,1500,1500.0,18000.0,1,2.56,2466,False
room in a shared flat,N1,2318,2318.0,27816.0,5,2.56,2447,False
2 bed flat,EC3R,6500,3250.0,39000.0,2,2.56,2323,False
4 bed flat,NW1,3500,875.0,10500.0,4,2.58,2690,False
3 bed flat,EC2M,8333,2777.6666666666665,33332.0,3,2.58,2841,False
1 bed flat,W1K,8000,8000.0,96000.0,1,2.58,4822,False
1 bed flat,SE1,3500,3500.0,42000.0,1,2.59,1846,False
room in a shared flat,SW1P,1090,1090.0,13080.0,3,2.59,1702,False
